serum,virus,replicate,concentration,fraction infectivity,input_folder,experiment_rep
Nirsevimab,RSV A2,2,81.63,0.0002937,24.09.26_mAb2,mAb_2
Nirsevimab,RSV A2,2,23.32,0.00045297,24.09.26_mAb2,mAb_2
Nirsevimab,RSV A2,2,6.66,0.0612288,24.09.26_mAb2,mAb_2
Nirsevimab,RSV A2,2,1.9,0.57589874,24.09.26_mAb2,mAb_2
Nirsevimab,RSV A2,2,0.54,0.96405028,24.09.26_mAb2,mAb_2
Nirsevimab,RSV A2,2,0.16,0.97248835,24.09.26_mAb2,mAb_2
Nirsevimab,RSV A2,2,0.04,1.03419179,24.09.26_mAb2,mAb_2
Nirsevimab,RSV B1,1,1000,0.00007069,24.09.26_mAb2,mAb_2
Nirsevimab,RSV B1,1,285.71,0.00060812,24.09.26_mAb2,mAb_2
Nirsevimab,RSV B1,1,81.63,0.00020574,24.09.26_mAb2,mAb_2
Nirsevimab,RSV B1,1,23.32,0.02804328,24.09.26_mAb2,mAb_2
Nirsevimab,RSV B1,1,6.66,0.18431019,24.09.26_mAb2,mAb_2
Nirsevimab,RSV B1,1,1.9,0.36284941,24.09.26_mAb2,mAb_2
Nirsevimab,RSV B1,1,0.54,0.53814247,24.09.26_mAb2,mAb_2
Nirsevimab,RSV B1,1,0.16,0.68818756,24.09.26_mAb2,mAb_2
Nirsevimab,RSV B1,1,0.04,0.78160505,24.09.26_mAb2,mAb_2
Nirsevimab,RSV B1,2,1000,0.00006406,24.09.26_mAb2,mAb_2
Nirsevimab,RSV B1,2,285.71,0.00006716,24.09.26_mAb2,mAb_2
Nirsevimab,RSV B1,2,81.63,0.00014918,24.09.26_mAb2,mAb_2
Nirsevimab,RSV B1,2,23.32,0.03351849,24.09.26_mAb2,mAb_2
Nirsevimab,RSV B1,2,6.66,0.23155996,24.09.26_mAb2,mAb_2
Nirsevimab,RSV B1,2,1.9,0.60811542,24.09.26_mAb2,mAb_2
Nirsevimab,RSV B1,2,0.54,0.9962128,24.09.26_mAb2,mAb_2
Nirsevimab,RSV B1,2,0.16,1.01064022,24.09.26_mAb2,mAb_2
Nirsevimab,RSV B1,2,0.04,1.23246168,24.09.26_mAb2,mAb_2
Nirsevimab,VSV,1,1000,0.9596188,24.09.26_mAb2,mAb_2
Nirsevimab,VSV,1,285.71,0.905508,24.09.26_mAb2,mAb_2
Nirsevimab,VSV,1,81.63,1.05847198,24.09.26_mAb2,mAb_2
Nirsevimab,VSV,1,23.32,0.98530124,24.09.26_mAb2,mAb_2
Nirsevimab,VSV,1,6.66,1.01066064,24.09.26_mAb2,mAb_2
Nirsevimab,VSV,1,1.9,0.94992731,24.09.26_mAb2,mAb_2
Nirsevimab,VSV,1,0.54,0.95509611,24.09.26_mAb2,mAb_2
Nirsevimab,VSV,1,0.16,0.96979486,24.09.26_mAb2,mAb_2
Nirsevimab,VSV,1,0.04,0.92844452,24.09.26_mAb2,mAb_2
Nirsevimab,VSV,2,1000,1.12518172,24.09.26_mAb2,mAb_2
Nirsevimab,VSV,2,285.71,0.99370053,24.09.26_mAb2,mAb_2
Nirsevimab,VSV,2,81.63,1.09933775,24.09.26_mAb2,mAb_2
Nirsevimab,VSV,2,23.32,1.17073171,24.09.26_mAb2,mAb_2
Nirsevimab,VSV,2,6.66,1.04151187,24.09.26_mAb2,mAb_2
Nirsevimab,VSV,2,1.9,1.00839929,24.09.26_mAb2,mAb_2
Nirsevimab,VSV,2,0.54,1.02875141,24.09.26_mAb2,mAb_2
Nirsevimab,VSV,2,0.16,1.0006461,24.09.26_mAb2,mAb_2
Nirsevimab,VSV,2,0.04,1.01873688,24.09.26_mAb2,mAb_2
D25,RSV B K68Q,1,1000,0.01466182,24.09.26_mAb2,mAb_2
D25,RSV B K68Q,1,285.71,0.02308035,24.09.26_mAb2,mAb_2
D25,RSV B K68Q,1,81.63,0.11857296,24.09.26_mAb2,mAb_2
D25,RSV B K68Q,1,23.32,0.49649021,24.09.26_mAb2,mAb_2
D25,RSV B K68Q,1,6.66,0.65257247,24.09.26_mAb2,mAb_2
D25,RSV B K68Q,1,1.9,0.98752994,24.09.26_mAb2,mAb_2
D25,RSV B K68Q,1,0.54,0.92658353,24.09.26_mAb2,mAb_2
D25,RSV B K68Q,1,0.16,0.92707903,24.09.26_mAb2,mAb_2
D25,RSV B K68Q,1,0.04,0.95532249,24.09.26_mAb2,mAb_2
D25,RSV B K68Q,2,1000,0.01834834,24.09.26_mAb2,mAb_2
D25,RSV B K68Q,2,285.71,0.02240647,24.09.26_mAb2,mAb_2
D25,RSV B K68Q,2,81.63,0.17357338,24.09.26_mAb2,mAb_2
D25,RSV B K68Q,2,23.32,0.53414815,24.09.26_mAb2,mAb_2
D25,RSV B K68Q,2,6.66,0.6927079,24.09.26_mAb2,mAb_2
D25,RSV B K68Q,2,1.9,0.87505161,24.09.26_mAb2,mAb_2
D25,RSV B K68Q,2,0.54,0.96820547,24.09.26_mAb2,mAb_2
D25,RSV B K68Q,2,0.16,0.86415063,24.09.26_mAb2,mAb_2
D25,RSV B K68Q,2,0.04,1.10099926,24.09.26_mAb2,mAb_2
D25,RSV A 1982,1,1000,0.00581015,24.09.26_mAb2,mAb_2
D25,RSV A 1982,1,285.71,0.00291271,24.09.26_mAb2,mAb_2
D25,RSV A 1982,1,81.63,0.00086914,24.09.26_mAb2,mAb_2
D25,RSV A 1982,1,23.32,0.12917793,24.09.26_mAb2,mAb_2
D25,RSV A 1982,1,6.66,0.56145651,24.09.26_mAb2,mAb_2
D25,RSV A 1982,1,1.9,0.91922404,24.09.26_mAb2,mAb_2
D25,RSV A 1982,1,0.54,0.93448879,24.09.26_mAb2,mAb_2
D25,RSV A 1982,1,0.16,0.90443632,24.09.26_mAb2,mAb_2
D25,RSV A 1982,1,0.04,0.98314517,24.09.26_mAb2,mAb_2
D25,RSV A 1982,2,1000,0.00338257,24.09.26_mAb2,mAb_2
D25,RSV A 1982,2,285.71,0.00125362,24.09.26_mAb2,mAb_2
D25,RSV A 1982,2,81.63,0.00789951,24.09.26_mAb2,mAb_2
D25,RSV A 1982,2,23.32,0.14716171,24.09.26_mAb2,mAb_2
D25,RSV A 1982,2,6.66,0.73366195,24.09.26_mAb2,mAb_2
D25,RSV A 1982,2,1.9,1.05851487,24.09.26_mAb2,mAb_2
D25,RSV A 1982,2,0.54,1.12911433,24.09.26_mAb2,mAb_2
D25,RSV A 1982,2,0.16,1.05422166,24.09.26_mAb2,mAb_2
D25,RSV A 1982,2,0.04,1.02321514,24.09.26_mAb2,mAb_2
D25,RSV A 2020,1,1000,0.00050445,24.09.26_mAb2,mAb_2
D25,RSV A 2020,1,285.71,0.00068156,24.09.26_mAb2,mAb_2
D25,RSV A 2020,1,81.63,0.0042127,24.09.26_mAb2,mAb_2
D25,RSV A 2020,1,23.32,0.09579971,24.09.26_mAb2,mAb_2
D25,RSV A 2020,1,6.66,0.3728533,24.09.26_mAb2,mAb_2
D25,RSV A 2020,1,1.9,0.70432444,24.09.26_mAb2,mAb_2
D25,RSV A 2020,1,0.54,0.91247672,24.09.26_mAb2,mAb_2
D25,RSV A 2020,1,0.16,0.95551417,24.09.26_mAb2,mAb_2
D25,RSV A 2020,1,0.04,0.87150838,24.09.26_mAb2,mAb_2
D25,RSV A 2020,2,1000,0.0004999,24.09.26_mAb2,mAb_2
D25,RSV A 2020,2,285.71,0.00058059,24.09.26_mAb2,mAb_2
D25,RSV A 2020,2,81.63,0.00341113,24.09.26_mAb2,mAb_2
D25,RSV A 2020,2,23.32,0.06368715,24.09.26_mAb2,mAb_2
D25,RSV A 2020,2,6.66,0.37637078,24.09.26_mAb2,mAb_2
D25,RSV A 2020,2,1.9,0.71053176,24.09.26_mAb2,mAb_2
D25,RSV A 2020,2,0.54,0.93978895,24.09.26_mAb2,mAb_2
D25,RSV A 2020,2,0.16,1.00931099,24.09.26_mAb2,mAb_2
D25,RSV A 2020,2,0.04,1.06062487,24.09.26_mAb2,mAb_2
D25,RSV B 2024,1,1000,0.007980345,24.09.26_mAb2,mAb_2
D25,RSV B 2024,1,285.71,0.007635546,24.09.26_mAb2,mAb_2
D25,RSV B 2024,1,81.63,0.004094112,24.09.26_mAb2,mAb_2
D25,RSV B 2024,1,23.32,0.049895894,24.09.26_mAb2,mAb_2
D25,RSV B 2024,1,6.66,0.348846506,24.09.26_mAb2,mAb_2
D25,RSV B 2024,1,1.9,0.731573249,24.09.26_mAb2,mAb_2
D25,RSV B 2024,1,0.54,0.782043808,24.09.26_mAb2,mAb_2
D25,RSV B 2024,1,0.16,0.839010577,24.09.26_mAb2,mAb_2
D25,RSV B 2024,1,0.04,1.015407679,24.09.26_mAb2,mAb_2
D25,RSV B 2024,2,1000,0.002910302,24.09.26_mAb2,mAb_2
D25,RSV B 2024,2,285.71,0.003515449,24.09.26_mAb2,mAb_2
D25,RSV B 2024,2,81.63,0.007295744,24.09.26_mAb2,mAb_2
D25,RSV B 2024,2,23.32,0.04100608,24.09.26_mAb2,mAb_2
D25,RSV B 2024,2,6.66,0.272590989,24.09.26_mAb2,mAb_2
D25,RSV B 2024,2,1.9,0.63113184,24.09.26_mAb2,mAb_2
D25,RSV B 2024,2,0.54,0.658116099,24.09.26_mAb2,mAb_2
D25,RSV B 2024,2,0.16,0.829516116,24.09.26_mAb2,mAb_2
D25,RSV B 2024,2,0.04,0.856500375,24.09.26_mAb2,mAb_2
D25,RSV Long,1,1000,0.00005562,24.09.26_mAb2,mAb_2
D25,RSV Long,1,285.71,0.00006958,24.09.26_mAb2,mAb_2
D25,RSV Long,1,81.63,0.000106,24.09.26_mAb2,mAb_2
D25,RSV Long,1,23.32,0.02533893,24.09.26_mAb2,mAb_2
D25,RSV Long,1,6.66,0.11457978,24.09.26_mAb2,mAb_2
D25,RSV Long,1,1.9,0.46925397,24.09.26_mAb2,mAb_2
D25,RSV Long,1,0.54,0.83033958,24.09.26_mAb2,mAb_2
D25,RSV Long,1,0.16,0.90586076,24.09.26_mAb2,mAb_2
D25,RSV Long,1,0.04,0.98531533,24.09.26_mAb2,mAb_2
D25,RSV Long,2,1000,0.00011348,24.09.26_mAb2,mAb_2
D25,RSV Long,2,285.71,0.00007261,24.09.26_mAb2,mAb_2
D25,RSV Long,2,81.63,0.00009409,24.09.26_mAb2,mAb_2
D25,RSV Long,2,23.32,0.00415366,24.09.26_mAb2,mAb_2
D25,RSV Long,2,6.66,0.15387439,24.09.26_mAb2,mAb_2
D25,RSV Long,2,1.9,0.38677068,24.09.26_mAb2,mAb_2
D25,RSV Long,2,0.54,0.73554478,24.09.26_mAb2,mAb_2
D25,RSV Long,2,0.16,0.82483283,24.09.26_mAb2,mAb_2
D25,RSV Long,2,0.04,0.99082208,24.09.26_mAb2,mAb_2
D25,RSV A2,1,1000,0.00046689,24.09.26_mAb2,mAb_2
D25,RSV A2,1,285.71,0.00023737,24.09.26_mAb2,mAb_2
D25,RSV A2,1,81.63,0.00048551,24.09.26_mAb2,mAb_2
D25,RSV A2,1,23.32,0.03781841,24.09.26_mAb2,mAb_2
D25,RSV A2,1,6.66,0.43756702,24.09.26_mAb2,mAb_2
D25,RSV A2,1,1.9,0.86068384,24.09.26_mAb2,mAb_2
D25,RSV A2,1,0.54,1.09009405,24.09.26_mAb2,mAb_2
D25,RSV A2,1,0.16,0.96774194,24.09.26_mAb2,mAb_2
D25,RSV A2,1,0.04,1.21508306,24.09.26_mAb2,mAb_2
D25,RSV A2,2,1000,0.0003919,24.09.26_mAb2,mAb_2
D25,RSV A2,2,285.71,0.00096036,24.09.26_mAb2,mAb_2
D25,RSV A2,2,81.63,0.00033953,24.09.26_mAb2,mAb_2
D25,RSV A2,2,23.32,0.02120594,24.09.26_mAb2,mAb_2
D25,RSV A2,2,6.66,0.24623363,24.09.26_mAb2,mAb_2
D25,RSV A2,2,1.9,0.78052211,24.09.26_mAb2,mAb_2
D25,RSV A2,2,0.54,1.03260965,24.09.26_mAb2,mAb_2
D25,RSV A2,2,0.16,0.98620023,24.09.26_mAb2,mAb_2
D25,RSV A2,2,0.04,1.14335941,24.09.26_mAb2,mAb_2
D25,RSV B1,1,1000,0.00005688,24.09.26_mAb2,mAb_2
D25,RSV B1,1,285.71,0.00010467,24.09.26_mAb2,mAb_2
D25,RSV B1,1,81.63,0.0178431,24.09.26_mAb2,mAb_2
D25,RSV B1,1,23.32,0.10073941,24.09.26_mAb2,mAb_2
D25,RSV B1,1,6.66,0.56339044,24.09.26_mAb2,mAb_2
D25,RSV B1,1,1.9,0.7877367,24.09.26_mAb2,mAb_2
D25,RSV B1,1,0.54,0.86311993,24.09.26_mAb2,mAb_2
D25,RSV B1,1,0.16,1.04129847,24.09.26_mAb2,mAb_2
D25,RSV B1,1,0.04,1.06871055,24.09.26_mAb2,mAb_2
D25,RSV B1,2,1000,0.00007816,24.09.26_mAb2,mAb_2
D25,RSV B1,2,285.71,0.00008411,24.09.26_mAb2,mAb_2
D25,RSV B1,2,81.63,0.01393327,24.09.26_mAb2,mAb_2
D25,RSV B1,2,23.32,0.1251578,24.09.26_mAb2,mAb_2
D25,RSV B1,2,6.66,0.34164112,24.09.26_mAb2,mAb_2
D25,RSV B1,2,1.9,0.83787196,24.09.26_mAb2,mAb_2
D25,RSV B1,2,0.54,0.81262399,24.09.26_mAb2,mAb_2
D25,RSV B1,2,0.16,0.8393147,24.09.26_mAb2,mAb_2
D25,RSV B1,2,0.04,0.95834085,24.09.26_mAb2,mAb_2
D25,VSV,1,1000,1.24147957,24.09.26_mAb2,mAb_2
D25,VSV,1,285.71,1.11823615,24.09.26_mAb2,mAb_2
D25,VSV,1,81.63,1.09691488,24.09.26_mAb2,mAb_2
D25,VSV,1,23.32,1.09610725,24.09.26_mAb2,mAb_2
D25,VSV,1,6.66,1.16960103,24.09.26_mAb2,mAb_2
D25,VSV,1,1.9,1.09853012,24.09.26_mAb2,mAb_2
D25,VSV,1,0.54,1.14617994,24.09.26_mAb2,mAb_2
D25,VSV,1,0.16,1.17622355,24.09.26_mAb2,mAb_2
D25,VSV,1,0.04,1.12905831,24.09.26_mAb2,mAb_2
D25,VSV,2,1000,1.1602326,24.09.26_mAb2,mAb_2
D25,VSV,2,285.71,1.04571152,24.09.26_mAb2,mAb_2
D25,VSV,2,81.63,1.08996931,24.09.26_mAb2,mAb_2
D25,VSV,2,23.32,1.12534324,24.09.26_mAb2,mAb_2
D25,VSV,2,6.66,1.20045227,24.09.26_mAb2,mAb_2
D25,VSV,2,1.9,1.08593119,24.09.26_mAb2,mAb_2
D25,VSV,2,0.54,1.12065902,24.09.26_mAb2,mAb_2
D25,VSV,2,0.16,1.09739945,24.09.26_mAb2,mAb_2
D25,VSV,2,0.04,1.12178969,24.09.26_mAb2,mAb_2
Clesrovimab,RSV B K68Q,1,1000,0.02316459,24.09.26_mAb2,mAb_2
Clesrovimab,RSV B K68Q,1,285.71,0.02029069,24.09.26_mAb2,mAb_2
Clesrovimab,RSV B K68Q,1,81.63,0.02360558,24.09.26_mAb2,mAb_2
Clesrovimab,RSV B K68Q,1,23.32,0.09037906,24.09.26_mAb2,mAb_2
Clesrovimab,RSV B K68Q,1,6.66,0.46859361,24.09.26_mAb2,mAb_2
Clesrovimab,RSV B K68Q,1,1.9,0.90924106,24.09.26_mAb2,mAb_2
Clesrovimab,RSV B K68Q,1,0.54,1.08217029,24.09.26_mAb2,mAb_2
Clesrovimab,RSV B K68Q,1,0.16,0.92906103,24.09.26_mAb2,mAb_2
Clesrovimab,RSV B K68Q,1,0.04,1.07870179,24.09.26_mAb2,mAb_2
Clesrovimab,RSV B K68Q,2,1000,0.01734247,24.09.26_mAb2,mAb_2
Clesrovimab,RSV B K68Q,2,285.71,0.0165794,24.09.26_mAb2,mAb_2
Clesrovimab,RSV B K68Q,2,81.63,0.02619209,24.09.26_mAb2,mAb_2
Clesrovimab,RSV B K68Q,2,23.32,0.08101412,24.09.26_mAb2,mAb_2
Clesrovimab,RSV B K68Q,2,6.66,0.39843092,24.09.26_mAb2,mAb_2
Clesrovimab,RSV B K68Q,2,1.9,0.76405979,24.09.26_mAb2,mAb_2
Clesrovimab,RSV B K68Q,2,0.54,0.90081757,24.09.26_mAb2,mAb_2
Clesrovimab,RSV B K68Q,2,0.16,0.86266413,24.09.26_mAb2,mAb_2
Clesrovimab,RSV B K68Q,2,0.04,0.92856553,24.09.26_mAb2,mAb_2
Clesrovimab,RSV A 1982,1,1000,0.00312819,24.09.26_mAb2,mAb_2
Clesrovimab,RSV A 1982,1,285.71,0.00520005,24.09.26_mAb2,mAb_2
Clesrovimab,RSV A 1982,1,81.63,0.00504822,24.09.26_mAb2,mAb_2
Clesrovimab,RSV A 1982,1,23.32,0.01893531,24.09.26_mAb2,mAb_2
Clesrovimab,RSV A 1982,1,6.66,0.1766054,24.09.26_mAb2,mAb_2
Clesrovimab,RSV A 1982,1,1.9,0.52093578,24.09.26_mAb2,mAb_2
Clesrovimab,RSV A 1982,1,0.54,0.83146336,24.09.26_mAb2,mAb_2
Clesrovimab,RSV A 1982,1,0.16,0.80639771,24.09.26_mAb2,mAb_2
Clesrovimab,RSV A 1982,1,0.04,0.87801385,24.09.26_mAb2,mAb_2
Clesrovimab,RSV A 1982,2,1000,0.01284794,24.09.26_mAb2,mAb_2
Clesrovimab,RSV A 1982,2,285.71,0.00548007,24.09.26_mAb2,mAb_2
Clesrovimab,RSV A 1982,2,81.63,0.01379327,24.09.26_mAb2,mAb_2
Clesrovimab,RSV A 1982,2,23.32,0.01493913,24.09.26_mAb2,mAb_2
Clesrovimab,RSV A 1982,2,6.66,0.20167104,24.09.26_mAb2,mAb_2
Clesrovimab,RSV A 1982,2,1.9,0.64117928,24.09.26_mAb2,mAb_2
Clesrovimab,RSV A 1982,2,0.54,0.93315827,24.09.26_mAb2,mAb_2
Clesrovimab,RSV A 1982,2,0.16,0.83934113,24.09.26_mAb2,mAb_2
Clesrovimab,RSV A 1982,2,0.04,0.95249463,24.09.26_mAb2,mAb_2
Clesrovimab,RSV A 2020,1,1000,0.0024304,24.09.26_mAb2,mAb_2
Clesrovimab,RSV A 2020,1,285.71,0.00140168,24.09.26_mAb2,mAb_2
Clesrovimab,RSV A 2020,1,81.63,0.00185241,24.09.26_mAb2,mAb_2
Clesrovimab,RSV A 2020,1,23.32,0.0020707,24.09.26_mAb2,mAb_2
Clesrovimab,RSV A 2020,1,6.66,0.01093239,24.09.26_mAb2,mAb_2
Clesrovimab,RSV A 2020,1,1.9,0.20388864,24.09.26_mAb2,mAb_2
Clesrovimab,RSV A 2020,1,0.54,0.67140963,24.09.26_mAb2,mAb_2
Clesrovimab,RSV A 2020,1,0.16,0.86018559,24.09.26_mAb2,mAb_2
Clesrovimab,RSV A 2020,1,0.04,0.94387981,24.09.26_mAb2,mAb_2
