condition,serum,virus,replicate,concentration,well_id,plate_name,fraction infectivity
Pooled Sera_TIM1,TIM1,RSV B 2024 F,1,1.143e-05,D9,Cell TIM1 B2024 ,1.026
Pooled Sera_TIM1,TIM1,RSV B 2024 F,1,3.81e-06,D10,Cell TIM1 B2024 ,0.9687
Pooled Sera_TIM1,TIM1,RSV B 2024 F,2,0.025,E2,Cell TIM1 B2024 ,0.0007139
Pooled Sera_TIM1,TIM1,RSV B 2024 F,2,0.008333,E3,Cell TIM1 B2024 ,0.00288
Pooled Sera_TIM1,TIM1,RSV B 2024 F,2,0.002778,E4,Cell TIM1 B2024 ,0.03219
Pooled Sera_TIM1,TIM1,RSV B 2024 F,2,0.0009259,E5,Cell TIM1 B2024 ,0.1672
Pooled Sera_TIM1,TIM1,RSV B 2024 F,2,0.0003086,E6,Cell TIM1 B2024 ,0.4417
Pooled Sera_TIM1,TIM1,RSV B 2024 F,2,0.0001029,E7,Cell TIM1 B2024 ,0.757
Pooled Sera_TIM1,TIM1,RSV B 2024 F,2,3.429e-05,E8,Cell TIM1 B2024 ,0.8168
Pooled Sera_TIM1,TIM1,RSV B 2024 F,2,1.143e-05,E9,Cell TIM1 B2024 ,0.9115
Pooled Sera_TIM1,TIM1,RSV B 2024 F,2,3.81e-06,E10,Cell TIM1 B2024 ,0.9888
Pooled Sera_TIM1,TIM1,RSV A Long,1,0.025,D2,Cell TIM1 Long,0.0001002
Pooled Sera_TIM1,TIM1,RSV A Long,1,0.008333,D3,Cell TIM1 Long,8.577e-05
Pooled Sera_TIM1,TIM1,RSV A Long,1,0.002778,D4,Cell TIM1 Long,0.0001281
Pooled Sera_TIM1,TIM1,RSV A Long,1,0.0009259,D5,Cell TIM1 Long,0.002384
Pooled Sera_TIM1,TIM1,RSV A Long,1,0.0003086,D6,Cell TIM1 Long,0.1684
Pooled Sera_TIM1,TIM1,RSV A Long,1,0.0001029,D7,Cell TIM1 Long,0.3612
Pooled Sera_TIM1,TIM1,RSV A Long,1,3.429e-05,D8,Cell TIM1 Long,0.8651
Pooled Sera_TIM1,TIM1,RSV A Long,1,1.143e-05,D9,Cell TIM1 Long,0.8733
Pooled Sera_TIM1,TIM1,RSV A Long,1,3.81e-06,D10,Cell TIM1 Long,0.9484
Pooled Sera_TIM1,TIM1,RSV A Long,2,0.025,E2,Cell TIM1 Long,7.607e-05
Pooled Sera_TIM1,TIM1,RSV A Long,2,0.008333,E3,Cell TIM1 Long,5.567e-05
Pooled Sera_TIM1,TIM1,RSV A Long,2,0.002778,E4,Cell TIM1 Long,0.0002622
Pooled Sera_TIM1,TIM1,RSV A Long,2,0.0009259,E5,Cell TIM1 Long,0.007265
Pooled Sera_TIM1,TIM1,RSV A Long,2,0.0003086,E6,Cell TIM1 Long,0.2304
Pooled Sera_TIM1,TIM1,RSV A Long,2,0.0001029,E7,Cell TIM1 Long,0.4412
Pooled Sera_TIM1,TIM1,RSV A Long,2,3.429e-05,E8,Cell TIM1 Long,0.936
Pooled Sera_TIM1,TIM1,RSV A Long,2,1.143e-05,E9,Cell TIM1 Long,1.213
Pooled Sera_TIM1,TIM1,RSV A Long,2,3.81e-06,E10,Cell TIM1 Long,0.8595
